program_id,program_name,utility,implementer,program_url,contact_email,contact_phone,reservation_required,deadline_submit_by,install_window_start,install_window_end,notes_program,measure_name,etrm_id,existing,replacement,eligible_building_types,rebate_condition,incentive_value,incentive_unit,incentive_type,measure_notes,last_updated
willdan_ceep_sce_2025,Commercial Energy Efficiency Program (CEEP),Southern California Edison (SCE),Willdan Energy Solutions,https://willdanefficiency.com/rebates,CEEP@willdan.com,855-390-7348,True,2025-12-01,,,"Funds limited; first-come-first-served; cannot double-dip with other programs. Rebate reservation required prior to installation. Post-install package must be submitted within 60 days of installation or before 12/01/2025, whichever is sooner.",Heat Pump Water Heater (HPWH) 45–99 gal,SWWH027-06,Gas storage water heater 26–55 gal; 56–69 gal; 70–89 gal,"45–99 gal, 208/240V, UEF 3.50+",Any eligible commercial building,Replace 26–55 gal gas storage,6000,per HPWH,Prescriptive Rebate,"*Offices, Small Retail, Restaurants in CZ15 are $1,000 less",2025-10-03
willdan_ceep_sce_2025,Commercial Energy Efficiency Program (CEEP),Southern California Edison (SCE),Willdan Energy Solutions,https://willdanefficiency.com/rebates,CEEP@willdan.com,855-390-7348,True,2025-12-01,,,"Funds limited; first-come-first-served; cannot double-dip with other programs. Rebate reservation required prior to installation. Post-install package must be submitted within 60 days of installation or before 12/01/2025, whichever is sooner.",Heat Pump Water Heater (HPWH) 45–99 gal,SWWH027-06,Gas storage water heater 26–55 gal; 56–69 gal; 70–89 gal,"45–99 gal, 208/240V, UEF 3.50+",Any eligible commercial building,Replace 56–69 gal gas storage,7000,per HPWH,Prescriptive Rebate,"*Offices, Small Retail, Restaurants in CZ15 are $1,000 less",2025-10-03
willdan_ceep_sce_2025,Commercial Energy Efficiency Program (CEEP),Southern California Edison (SCE),Willdan Energy Solutions,https://willdanefficiency.com/rebates,CEEP@willdan.com,855-390-7348,True,2025-12-01,,,"Funds limited; first-come-first-served; cannot double-dip with other programs. Rebate reservation required prior to installation. Post-install package must be submitted within 60 days of installation or before 12/01/2025, whichever is sooner.",Heat Pump Water Heater (HPWH) 45–99 gal,SWWH027-06,Gas storage water heater 26–55 gal; 56–69 gal; 70–89 gal,"45–99 gal, 208/240V, UEF 3.50+",Any eligible commercial building,Replace 70–89 gal gas storage,8000,per HPWH,Prescriptive Rebate,,2025-10-03
willdan_ceep_sce_2025,Commercial Energy Efficiency Program (CEEP),Southern California Edison (SCE),Willdan Energy Solutions,https://willdanefficiency.com/rebates,CEEP@willdan.com,855-390-7348,True,2025-12-01,2025-08-01,2025-11-30,"Funds limited; first-come-first-served; cannot double-dip with other programs. Rebate reservation required prior to installation. Post-install package must be submitted within 60 days of installation or before 12/01/2025, whichever is sooner.","Heat Pump Water Heater (HPWH) 120 gal (Install window Aug 1–Nov 30, 2025)",SWWH028-06,"Storage-type (80+ gal, gas-fired) OR Boiler/Tankless (>=76 kBtu/hr, gas-fired)","120-gal HPWH(s), 208/240V, COP 4.3+","Hotels; Grocery Stores; Nursing Homes; Fitness Centers; Refrigerated Warehouses; Hospitals; Private University; Private University Dorm; Multistory Retail; Storage Facility; Retail Small; Office Large; Office Small; Places of Assembly; Motels; Retail Large (>130,000 sqft)","Hotels, Grocery, Nursing, Fitness, Refrigerated Warehouse, Hospital",25000,per HPWH,Prescriptive Rebate,,2025-10-03
willdan_ceep_sce_2025,Commercial Energy Efficiency Program (CEEP),Southern California Edison (SCE),Willdan Energy Solutions,https://willdanefficiency.com/rebates,CEEP@willdan.com,855-390-7348,True,2025-12-01,2025-08-01,2025-11-30,"Funds limited; first-come-first-served; cannot double-dip with other programs. Rebate reservation required prior to installation. Post-install package must be submitted within 60 days of installation or before 12/01/2025, whichever is sooner.","Heat Pump Water Heater (HPWH) 120 gal (Install window Aug 1–Nov 30, 2025)",SWWH028-06,"Storage-type (80+ gal, gas-fired) OR Boiler/Tankless (>=76 kBtu/hr, gas-fired)","120-gal HPWH(s), 208/240V, COP 4.3+","Hotels; Grocery Stores; Nursing Homes; Fitness Centers; Refrigerated Warehouses; Hospitals; Private University; Private University Dorm; Multistory Retail; Storage Facility; Retail Small; Office Large; Office Small; Places of Assembly; Motels; Retail Large (>130,000 sqft)","Private University, Dorm, Multistory Retail, Storage Facility",23000,per HPWH,Prescriptive Rebate,,2025-10-03
willdan_ceep_sce_2025,Commercial Energy Efficiency Program (CEEP),Southern California Edison (SCE),Willdan Energy Solutions,https://willdanefficiency.com/rebates,CEEP@willdan.com,855-390-7348,True,2025-12-01,2025-08-01,2025-11-30,"Funds limited; first-come-first-served; cannot double-dip with other programs. Rebate reservation required prior to installation. Post-install package must be submitted within 60 days of installation or before 12/01/2025, whichever is sooner.","Heat Pump Water Heater (HPWH) 120 gal (Install window Aug 1–Nov 30, 2025)",SWWH028-06,"Storage-type (80+ gal, gas-fired) OR Boiler/Tankless (>=76 kBtu/hr, gas-fired)","120-gal HPWH(s), 208/240V, COP 4.3+","Hotels; Grocery Stores; Nursing Homes; Fitness Centers; Refrigerated Warehouses; Hospitals; Private University; Private University Dorm; Multistory Retail; Storage Facility; Retail Small; Office Large; Office Small; Places of Assembly; Motels; Retail Large (>130,000 sqft)","Retail Small, Office Large, Office Small",18000,per HPWH,Prescriptive Rebate,"CZ15 variant $13,000",2025-10-03
willdan_ceep_sce_2025,Commercial Energy Efficiency Program (CEEP),Southern California Edison (SCE),Willdan Energy Solutions,https://willdanefficiency.com/rebates,CEEP@willdan.com,855-390-7348,True,2025-12-01,2025-08-01,2025-11-30,"Funds limited; first-come-first-served; cannot double-dip with other programs. Rebate reservation required prior to installation. Post-install package must be submitted within 60 days of installation or before 12/01/2025, whichever is sooner.","Heat Pump Water Heater (HPWH) 120 gal (Install window Aug 1–Nov 30, 2025)",SWWH028-06,"Storage-type (80+ gal, gas-fired) OR Boiler/Tankless (>=76 kBtu/hr, gas-fired)","120-gal HPWH(s), 208/240V, COP 4.3+","Hotels; Grocery Stores; Nursing Homes; Fitness Centers; Refrigerated Warehouses; Hospitals; Private University; Private University Dorm; Multistory Retail; Storage Facility; Retail Small; Office Large; Office Small; Places of Assembly; Motels; Retail Large (>130,000 sqft)","Places of Assembly, Motels, Retail Large (>130k sqft)",14000,per HPWH,Prescriptive Rebate,"CZ15 variant $10,000",2025-10-03
willdan_ceep_sce_2025,Commercial Energy Efficiency Program (CEEP),Southern California Edison (SCE),Willdan Energy Solutions,https://willdanefficiency.com/rebates,CEEP@willdan.com,855-390-7348,True,2025-12-01,,,"Funds limited; first-come-first-served; cannot double-dip with other programs. Rebate reservation required prior to installation. Post-install package must be submitted within 60 days of installation or before 12/01/2025, whichever is sooner.",Demand Controlled Kitchen Ventilation (DCKV),SWFS012-03,Kitchen hoods w/ basic ON/OFF controls; not already controlled by cooking activity sensors,Demand controls on existing commercial kitchen ventilation systems,Restaurants; Grocery Stores; Resorts; Hospitals; Theaters; Private Universities; Places of Assembly; Corporate Cafeterias,Per exhaust fan horsepower,1900,per HP,Prescriptive Rebate,,2025-10-03
willdan_ceep_sce_2025,Commercial Energy Efficiency Program (CEEP),Southern California Edison (SCE),Willdan Energy Solutions,https://willdanefficiency.com/rebates,CEEP@willdan.com,855-390-7348,True,2025-12-01,,,"Funds limited; first-come-first-served; cannot double-dip with other programs. Rebate reservation required prior to installation. Post-install package must be submitted within 60 days of installation or before 12/01/2025, whichever is sooner.",Anti-Sweat Heater (ASH) Controls – Low Temp (Freezers),SWCR001-04,Low-temp vertical display cases with uncontrolled anti-sweat heaters,Install Anti-Sweat Heater Controls,Grocery Stores,Per linear foot,65,per linear foot,Prescriptive Rebate,,2025-10-03
willdan_ceep_sce_2025,Commercial Energy Efficiency Program (CEEP),Southern California Edison (SCE),Willdan Energy Solutions,https://willdanefficiency.com/rebates,CEEP@willdan.com,855-390-7348,True,2025-12-01,,,"Funds limited; first-come-first-served; cannot double-dip with other programs. Rebate reservation required prior to installation. Post-install package must be submitted within 60 days of installation or before 12/01/2025, whichever is sooner.",Medium Temperature Case Doors (RCD),SWCR015-03,Medium-temp (cooler) vertical display cases with no doors,Install doors on open cases,Grocery Stores,Per linear foot,230,per linear foot,Prescriptive Rebate,,2025-10-03
