zip,owner_utility,cca,notes,source
90001,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90001,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90001,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90002,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90002,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90002,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90003,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90003,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90003,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90004,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90004,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90004,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90005,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90005,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90006,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90006,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90007,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90007,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90008,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90008,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90008,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90009,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90010,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90010,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90011,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
